Id,Date,Alarm,Status,Mode,PIP,RR,I:E,PEEP,FIO2,VT,FlowEnd,FlowCurve,FlowCurve,TPause,Trise,Trigger,End insp.,PSupport,PsLow,ApneaTime,BreathCycleTime,Tinsp,TExpiration,Flow,PIP Max,PEEP Min,PEEP Max,RR Min,RR Max,MVe Min,MVe Max,ApneaTime Max,Cyc. PIP,Cyc. RR,Cyc. I:E,Cyc. PEEP,Cyc. FIO2,Cyc. P Platue,Cyc. PIF,Cyc. VTi,Cyc. VTe,Cyc. MVi,Cyc. MVe,Cyc. Cdyn,Cyc. PEF,Cyc. Pmean,Cyc. Raw,Cyc. Cstat,Cyc. PEEPi,Cyc. NIF,Cyc. RSBI,Cyc. Leak,Cyc. RRSpont,Cyc. RRMand,Cyc. VTiMand,Cyc. VTeMand,Cyc. VTiSpont,Cyc. VTeSpont,Cyc. VtiSpontMean,Cyc. VTeSpontMean,Cyc. MVeSpont,Cyc. MVeMand,Cyc. MVLeak,Cyc. PDrive,Cyc. VTPBW,Cyc. EndInspPressure,Cyc. P01
8457,2026-06-17 18:52:55,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,120,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8456,2026-06-17 18:52:54,Standby Mode Activated,Deactivated,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,120,58,0,13,1,145,0,5,10,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8455,2026-06-17 18:52:54,Start HF O2 Therapy Mode,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,120,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2026-06-17 18:52:52,Start HF Oxygen Therapy Ventilation,,Standby,,,-:-,,,,,,,,,,,,,,,,,,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8453,2026-06-17 18:52:44,Home Page,,Standby,,,-:-,,,,,,,,,,,,,,,,,,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8452,2026-06-17 18:52:42,Standby Mode Activated,Activated,Standby,,,-:-,,,,,,,,,,,,,,,,,,58,0,13,1,145,0,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8451,2026-06-17 18:52:41,Battery 2 Charging,,Standby,,,-:-,,,,,,,,,,,,,,,,,,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8450,2026-06-17 18:52:41,Battery 1 Charging,,Standby,,,-:-,,,,,,,,,,,,,,,,,,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8449,2026-06-17 18:52:40,EzVent Started Successfully,,Standby,,,-:-,,,,,,,,,,,,,,,,,,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8448,2026-06-16 14:25:46,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,120,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8447,2026-06-16 14:21:02,Change HF O2 Therapy Mode Setting,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,120,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8446,2026-06-16 13:55:27,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8445,2026-06-16 13:29:19,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8444,2026-06-16 12:52:23,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2026-06-16 12:22:42,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8442,2026-06-16 11:53:44,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8441,2026-06-16 11:17:53,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8440,2026-06-16 11:14:42,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8439,2026-06-16 11:10:08,Change HF O2 Therapy Mode Setting,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8438,2026-06-16 10:49:18,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,50,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8437,2026-06-16 10:22:06,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,50,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8436,2026-06-16 10:21:57,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,50,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8435,2026-06-16 10:12:36,Change HF O2 Therapy Mode Setting,,HF O<sub>2</sub> Therapy,-,-,-:-,-,50,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8434,2026-06-16 09:55:34,View Logs,,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,35,0,20,4,30,0,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8433,2026-06-16 09:51:37,Standby Mode Activated,Deactivated,HF O<sub>2</sub> Therapy,-,-,-:-,-,60,-,-,-,-,0,0,0,-,-,-,-,0,0,0,100,58,0,13,1,145,0,5,10,14,0,,0,60.9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
